Keyword,Brand,Clicks,Impresions,Rank,Volume
swisscom,brand,3,47,100,202000
sunrise,brand,6,2238,"16,16",152000
salt,brand,86,57271,"6,84",137000
wingo,brand,99,89426,"6,62",85000
yallo,brand,53,45739,"6,44",68000
handy abo,other,105,4401,"7,6",4200
prepaid sim karte,other,0,10,,2400
internet abo,other,65,3419,"8,85",2600
handy abo vergleich,other,81,3543,"5,32",2600
glasfaseranschluss,other,0,10,,1600
m budget mobile,brand,1,1487,"14,5",22000
mobile abo,other,9,897,"28,6",1500
handy abo schweiz,other,35,1718,"7,72",1600
yallo abo,semibrand,10,3778,"9,56",4000
sunrise abo,semibrand,3,947,"6,7",3800
salt abo,semibrand,11,4138,"9,65",3800
sunrise netzabdeckung,other,5,1283,"9,22",1200
internet abo schweiz,other,5,838,"10,98",1200
yallo internet,semibrand,1,288,30,3200
salt netzabdeckung,other,19,1284,"5,72",1100
günstiges handy-abo schweiz unlimitiert internet,other,5,86,"16,48",1000
swisscom abo,semibrand,1,250,"23,59",2900
swisscom internet,semibrand,1,223,"25,56",2900
yallo black,semibrand,9,1390,"8,62",3000
sunrise mobile,semibrand,0,10,11,2800
wingo cockpit,other,0,10,14,900
internet geschwindigkeit test,other,0,10,,900
internet anbieter schweiz,other,1,209,"16,9",900
internetgeschwindigkeit testen,other,0,10,,800
wingo fair flat,other,1,602,"8,78",800
salt internet,semibrand,3,1550,"7,32",2400
wingo europe,other,4,1013,"7,26",800
internet und tv abo,other,4,343,"19,6",800
swisscom prepaid,semibrand,0,10,,2300
glasfaser verfügbarkeit,other,0,10,,700
internet geschwindigkeit,other,0,10,44,700
swisscom netzabdeckung,other,1,560,"13,21",700
internet tv abo,other,2,246,"28,9",700
günstiges handy abo,other,4,635,"14,71",700
wingo abonnement,other,4,10,9,700
yallo prepaid,semibrand,0,37,"34,96",2000
m budget internet,semibrand,2,205,"14,43",2000
handyabo,other,23,1008,"7,6",800
mobile abo vergleich,other,28,1659,"5,54",800
handy abos,other,17,926,"10,39",700
yallo mobile,semibrand,2,887,"9,15",1800
yallo netz,other,2,858,"8,13",600
günstige handy abos,other,4,894,"10,84",600
salt abonnement,semibrand,2,10,14,1700
salt mobile,brand,7,3683,"7,68",8600
internet abo vergleich,other,11,724,7,600
home internet,other,0,31,"21,35",500
internetanbieter schweiz,other,1,286,"28,86",500
tv und internet abo,other,1,265,"15,15",500
tv internet abo,other,1,220,"19,67",500
5g abdeckung schweiz,other,20,403,"4,79",600
yallo black plus,semibrand,5,356,"8,85",1500
m budget abo,semibrand,0,10,10,1400
sunrise angebote für bestehende kunden,other,0,10,24,450
prepaid karte,other,0,10,,450
sunrise shop basel,other,0,10,,450
m budget,brand,1,153,"16,8",6800
swisscom prepaid aufladen,semibrand,0,10,,1300
salt europe max,semibrand,1,443,"11,43",1300
salt home,semibrand,2,558,"10,38",1300
mobile abo aktion,other,5,162,"15,49",450
wingo mobile,brand,11,4386,"8,29",7200
wingo internet,semibrand,4,704,"11,88",1300
netzabdeckung sunrise,other,7,626,"7,41",450
m-budget mobile,brand,0,391,"18,74",6100
handyvertrag schweiz,other,0,190,"24,63",400
abonnement mobile,other,0,167,"48,37",400
tv anbieter schweiz,other,0,10,18,400
prepaid handy,other,0,10,36,400
spotify abos,other,0,10,,400
wingo aktion,other,0,10,20,400
prepaid sim card switzerland,other,0,10,,400
prepaid sim karte schweiz,other,0,10,90,400
talk talk abo,semibrand,1,1243,"11,18",1200
abonnement internet,other,2,10,9,400
wingo handy abo,semibrand,3,1229,"7,8",1200
abonnement wingo,other,3,10,7,400
wingo swiss pro,semibrand,3,1323,"7,89",1100
swisscom action,other,0,10,,350
sky abo schweiz,other,0,10,,350
wlan zuhause,other,0,10,19,350
talktalk,brand,5,3406,"7,14",5600
handy abo angebote,other,1,356,"9,4",350
swisscom handy-abo preise,other,1,88,"9,87",350
wingo kassensturz,other,1,33,"13,24",350
sunrise mobile abo,semibrand,0,967,"10,02",1000
internet schweiz,other,2,493,"18,4",350
sunrise prepaid aufladen,semibrand,0,10,56,1000
yallo international,other,3,271,"8,15",350
wingo abo aktion,other,4,435,"9,08",350
yallo super fat xxl,other,4,299,"6,36",350
internet für zuhause,other,5,320,"11,12",350
handy abos vergleich,other,7,461,"5,72",350
handy-abo vergleich,other,7,399,5,350
internet vergleich schweiz,other,0,260,"11,6",300
günstiges internet schweiz,other,0,206,"14,17",300
internet tv,other,0,169,"36,61",300
tv abo,other,0,120,"41,17",300
internet home,other,0,25,"20,01",300
günstigstes handy abo,other,0,10,10,300
prepaid karte schweiz,other,0,10,,300
handy abo unlimitiert,other,0,10,23,300
wingo kündigen,other,0,10,13,300
salt esim,other,0,10,,300
wingo europe pro,semibrand,6,1213,"8,69",1000
swisscom mobile abo,semibrand,1,177,"20,63",900
wingo abos,semibrand,2,947,"7,26",900
tv abo vergleich,other,2,10,8,300
handy abo günstig,other,3,558,"13,1",300
mobil abo,other,3,395,"11,5",300
salt netz,other,3,361,"8,17",300
wingo netz,other,19,487,"1,81",400
salt handy abo,semibrand,2,643,"7,38",800
swisscom handy abo,semibrand,2,169,"16,62",800
salt abo mit handy,other,0,163,"7,74",250
bestes handy abo schweiz,other,0,94,"21,36",250
mobiles internet schweiz,other,0,10,64,250
handy günstig,other,0,10,,250
tv angebote,other,0,10,,250
handy aktion,other,0,10,77,250
glasfaser internet,other,0,10,,250
mobilfunkanbieter schweiz,other,0,10,15,250
salt abo kündigen online,other,0,10,25,250
salt abos,semibrand,3,1233,"8,96",800
mobile abos schweiz,other,8,409,"9,79",300
salt internet abo,other,1,383,"5,39",250
abo mobile,other,1,213,"22,82",250
swisscom abo handy,other,1,89,"21,5",250
handy abovergleich,other,2,500,"11,43",250
yallo abo mit handy,other,2,313,"10,84",250
mobile abo schweiz,other,2,235,"17,86",250
talktalk mobile,other,2,10,9,250
yallo mobile abo,other,2,10,8,250
salt tv internet,semibrand,0,139,"14,45",700
yallo handy abo,semibrand,1,816,"9,33",700
handy abo vergleich schweiz,other,11,563,"5,76",300
abo handy,other,4,547,"12,74",250
internet vergleich,other,4,509,"21,67",250
sunrise handy abo,semibrand,1,355,"11,88",700
handy abo mit handy,other,4,340,"12,69",250
swisscom netz,other,4,89,"15,59",250
wingo schweiz,semibrand,2,788,"4,22",700
netzabdeckung salt,other,14,485,"5,03",300
salt prepaid,semibrand,0,10,11,600
swisscom datenpaket,semibrand,0,10,86,600
prepaid swisscom,semibrand,0,10,,600
abonnement tv internet,other,0,10,14,200
mobile anbieter schweiz,other,0,10,24,200
internet und tv,other,0,10,60,200
sunrise netz,other,0,10,18,200
handyvertrag,other,0,10,,200
sunrise glasfaser check,other,0,10,59,200
spotify kosten schweiz,other,0,10,,200
m budget handy abo,other,0,10,15,200
spotify-abo schweiz,other,0,10,,200
mobile daten schweiz,other,0,10,,200
günstiges handy,other,0,10,82,200
salt internet tv,other,0,10,15,200
glasfaseranschluss prüfen,other,0,10,,200
prepaid internet schweiz,other,0,10,67,200
geschwindigkeit internet,other,0,10,53,200
salt home internet,other,0,10,18,200
tv internet,other,0,10,22,200
handy abo sunrise,other,0,10,12,200
salt internet home,other,0,10,12,200
unlimitiert abo,other,0,10,68,200
yallo abo aktion,other,1,307,"9,85",200
internet anbieter,other,1,209,"19,22",200
swisscom handy-abo aktion,other,1,68,"14,46",200
internet zuhause schweiz,other,1,64,"19,99",200
talk talk,brand,2,1130,"18,37",3000
yallo welches netz,other,2,567,"8,19",200
yallo schweiz,other,2,533,"4,43",200
internet zuhause,other,10,487,"7,6",250
internet anschluss,other,2,10,3,200
internet für zuhause schweiz,other,2,10,8,200
handy abo salt,other,2,10,7,200
wingo angebote,semibrand,3,786,"7,08",600
mobile abos,other,3,273,"18,02",200
handyabos,other,3,243,18,200
handy abos schweiz,other,4,416,"10,11",200
wingo swiss,semibrand,0,699,"8,38",500
abo vergleich,other,5,450,"13,02",200
sunrise abo angebote,semibrand,0,257,"13,78",500
salt mobile abo,semibrand,1,630,"8,83",500
mobil abo vergleich,other,7,420,"5,64",200
mobile abo vergleich schweiz,other,0,213,"5,08",150
internet und tv abo-vergleich schweiz,other,0,168,"10,1",150
sunrise 5g abdeckung,other,0,168,"9,02",150
günstiges internet,other,0,138,"25,78",150
sunrise abo unlimitiert,other,0,80,"9,58",150
talk talk mobile,other,0,63,"11,75",150
sunrise angebote handy,other,0,58,"32,17",150
sunrise abo handy,other,0,52,"14,7",150
wingo handy,semibrand,3,10,8,500
prepaid sim,other,0,10,,150
günstigstes handy abo schweiz,other,0,10,,150
prepaid sim-karte schweiz,other,0,10,,150
prepaid vergleich schweiz,other,0,10,38,150
swisscom mobile abos,other,0,10,16,150
budget mobile abo,other,0,10,10,150
m-budget prepaid aufladen,other,0,10,,150
swisscom mobile-abo übersicht,other,0,10,17,150
m budget mobile maxi,other,0,10,18,150
handy-abo unlimitiert schweiz und europa,other,0,10,19,150
tv angebot,other,0,10,,150
mobile internet schweiz,other,0,10,25,150
handy aufladen swisscom,other,0,10,,150
yallo guthaben abfragen,other,0,10,19,150
handy abo unlimitiert internet,other,0,10,24,150
bestes netz schweiz,other,0,10,10,150
wingo mobile abo,semibrand,1,618,"7,49",450
mobil abo schweiz,other,1,212,"10,15",150
yallo abo unlimitiert,other,1,198,"8,88",150
handy abo wingo,other,1,194,"7,09",150
handyabo vergleich,other,1,192,"6,11",150
günstigstes internet schweiz,other,1,168,"16,54",150
internet tv vergleich,other,1,150,"27,33",150
günstiges handy-abo swisscom,other,1,97,"9,54",150
günstiges internet für zuhause schweiz,other,1,90,"16,35",150
sunrise abdeckung,other,1,10,8,150
yallo top europe,semibrand,5,667,"7,29",500
talk talk erfahrungen,other,2,208,"8,72",150
günstige mobile abo,other,2,194,"13,74",150
salt abdeckung,other,2,166,"6,7",150
internet-abo zuhause,other,2,152,"8,07",150
yallo abonnement,semibrand,0,148,"9,92",400
wingo erfahrung,other,2,77,"15,43",150
m-budget abo,semibrand,0,10,12,400
salt angebote handy,other,2,10,7,150
handyabo schweiz,other,2,10,4,150
salt aktion,other,2,10,8,150
günstige handy abo schweiz,other,2,10,6,150
abonnement yallo,other,2,10,8,150
yallo handy,other,2,10,9,150
handyabo kinder,other,2,10,3,150
yallo superfat xxl,semibrand,3,463,"8,09",450
abo mit handy,other,3,445,"11,97",150
wingo netzabdeckung,other,11,296,"5,17",200
internet abos,other,3,233,"9,46",150
handy-abo mit handy,other,3,158,"9,59",150
yello telefon,other,3,144,"2,84",150
yallo angebote,semibrand,2,334,"8,03",400
internetabo,other,4,195,"5,3",150
sunrise internet abo,semibrand,0,129,"14,34",350
yallo netzabdeckung,other,12,124,"3,56",200
wingo abo,brand,49,11426,"8,37",6600
talktalk netz,other,6,176,"1,73",150
mobil abo vergleich schweiz,other,0,225,"6,49",100
internet angebote schweiz,other,0,109,"22,21",100
m-budget mobile abo,other,0,93,"15,07",100
tv und internet-abo-vergleich schweiz,other,0,77,"9,07",100
m budget tv internet,other,0,74,"30,62",100
handyanbieter schweiz,other,0,62,"22,33",100
sunrise up mobile m,semibrand,0,10,21,300
internet fernsehen,other,0,10,50,100
wingo esim,other,0,10,,100
prepaid sim card,other,0,10,,100
sunrise handy abo angebote,other,0,10,10,100
sunrise angebot,other,0,10,12,100
swisscom handy abo kündigen,other,0,10,26,100
sunrise aktion,other,0,10,15,100
swisscom jugendabo,other,0,10,14,100
m budget mobile kündigen,other,0,10,15,100
prepaid abo,other,0,10,20,100
offre swisscom mobile,other,0,10,20,100
unlimitiertes abo,other,0,10,58,100
m.budget mobile,other,0,10,47,100
handytarife schweiz,other,0,10,15,100
handy abo weltweit unlimitiert,other,0,10,31,100
handy anbieter schweiz,other,0,10,24,100
abonnement tv,other,0,10,66,100
internet angebote,other,1,155,"27,16",100
günstig mobile abo,other,1,152,"9,68",100
talktalk abo,other,1,131,"9,48",100
günstigste handy abo schweiz,other,1,122,"14,1",100
internet schweiz vergleich,other,0,118,"10,81",90
internetanbieter vergleich schweiz,other,1,105,"10,63",100
sunrise handy-abo angebote,other,1,84,"10,66",100
internet tv angebote,other,0,39,"25,63",90
swisscom handy-abo unlimitiert,other,0,25,"16,7",90
bestes handynetz schweiz,other,0,10,13,90
swisscom prepaid kaufen,other,0,10,,90
prepaid handy schweiz,other,0,10,31,90
mobile prepaid,other,0,10,87,90
handy vertrag schweiz,other,1,26,"32,45",90
swisscom angebote handy,other,2,10,9,100
günstiges handy abo swisscom,other,2,10,8,100
home internet switzerland,other,2,10,9,100
handy abo swisscom netz,other,3,96,"7,61",100
tv und internet angebote,other,0,11,"21,39",80
salt angebot,other,2,10,5,90
offre sunrise mobile,other,0,10,13,80
internet glasfaser,other,0,10,87,80
festnetz abo,other,0,10,,80
