Date,Clicks,Impressions,CTR,Position
2025-02-24,809,29497,2.74%,8.74
2025-02-23,698,27562,2.53%,9.46
2025-02-22,670,27078,2.47%,9.19
2025-02-21,727,26935,2.70%,8.45
2025-02-20,723,29499,2.45%,7.96
2025-02-19,774,31869,2.43%,8.58
2025-02-18,858,30868,2.78%,7.72
2025-02-17,843,31538,2.67%,8.5
2025-02-16,706,28918,2.44%,8.25
2025-02-15,733,29427,2.49%,7.81
2025-02-14,962,32228,2.98%,6.88
2025-02-13,920,34704,2.65%,6.93
2025-02-12,943,34067,2.77%,7.03
2025-02-11,909,33157,2.74%,7.13
2025-02-10,801,32315,2.48%,7.68
2025-02-09,618,29078,2.13%,9.3
2025-02-08,699,28267,2.47%,8.58
2025-02-07,748,28905,2.59%,7.77
2025-02-06,895,31383,2.85%,7.48
2025-02-05,849,31837,2.67%,7.26
2025-02-04,707,30664,2.31%,7.5
2025-02-03,697,28866,2.41%,8.26
2025-02-02,627,27376,2.29%,9.5
2025-02-01,647,27277,2.37%,7.91
2025-01-31,708,29041,2.44%,7.83
2025-01-30,785,29588,2.65%,7.3
2025-01-29,725,30849,2.35%,7.63
2025-01-28,777,30791,2.52%,7.46
2025-01-27,736,30848,2.39%,7.27
2025-01-26,582,28492,2.04%,9.68
2025-01-25,671,28462,2.36%,8.53
2025-01-24,706,29139,2.42%,7.96
2025-01-23,774,30199,2.56%,7.3
2025-01-22,789,30383,2.60%,7.12
2025-01-21,882,30611,2.88%,7.15
2025-01-20,1467,37621,3.90%,6.24
2025-01-19,558,26843,2.08%,8.81
2025-01-18,701,28285,2.48%,7.61
2025-01-17,779,28723,2.71%,7.06
2025-01-16,761,29581,2.57%,6.61
2025-01-15,835,30083,2.78%,6.39
2025-01-14,802,29808,2.69%,6.94
2025-01-13,848,29635,2.86%,6.71
2025-01-12,647,25278,2.56%,7.55
2025-01-11,698,25465,2.74%,7.05
2025-01-10,774,25852,2.99%,6.99
2025-01-09,830,27335,3.04%,7.5
2025-01-08,835,29835,2.80%,8.17
2025-01-07,825,29094,2.84%,7.93
2025-01-06,823,31815,2.59%,8.42
2025-01-05,710,28323,2.51%,8.77
2025-01-04,693,28226,2.46%,8.18
2025-01-03,835,30018,2.78%,7.93
2025-01-02,891,30205,2.95%,7.93
