Keyword,Rank,New_Rank,Volume,Estimated_CTR,New_Estimated_CTR,Estimated_Clicks,Predicted_Clicks,New_Estimated_Clicks
m budget mobile,41,1,21000,0.0008,0.01,1.3333333333333333,210.0,210.0
salt mobile,4,1,8700,0.002,0.01,7.333333333333333,87.0,87.0
wingo mobile,6,1,6600,0.0024,0.01,10.333333333333334,66.0,66.0
wingo abo,13,1,6000,0.0044,0.01,49.666666666666664,60.0,60.0
yallo abo,8,1,4400,0.0026,0.05,10.0,220.0,220.0
sunrise abo,4,1,4300,0.0038,0.05,3.3333333333333335,215.0,215.0
handy abo,1,1,4200,0.0235,0.3,103.0,1260.0,1260.0
salt abo,9,1,4100,0.0024,0.05,10.0,205.0,205.0
handy abo vergleich,2,1,3700,0.0225,0.3,83.25,1110.0,1110.0
yallo internet,10,1,3300,0.03,0.05,1.3333333333333333,165.0,165.0
sunrise mobile,11,1,3000,0.015,0.05,45.0,150.0,150.0
swisscom abo,14,1,2900,0.015,0.05,1.3333333333333333,145.0,145.0
prepaid sim karte,100,1,2400,0.01,0.3,24.0,720.0,720.0
internet abo,14,1,2300,0.019,0.3,64.0,690.0,690.0
salt internet,18,1,2200,0.002,0.05,3.0,110.0,110.0
swisscom prepaid,100,1,2200,0.005,0.05,11.0,110.0,110.0
m budget internet,11,1,2100,0.015,0.05,1.6666666666666667,105.0,105.0
salt europe max,11,1,2100,0.0029,0.05,1.3333333333333333,105.0,105.0
yallo mobile,7,1,2000,0.0027,0.05,2.3333333333333335,100.0,100.0
yallo prepaid,14,1,2000,0.015,0.05,0.3333333333333333,100.0,100.0
salt abonnement,8,1,1800,0.03,0.05,54.0,90.0,90.0
handy abo schweiz,2,1,1700,0.0204,0.3,34.666666666666664,510.0,510.0
m budget abo,10,1,1500,0.03,0.05,45.0,75.0,75.0
glasfaseranschluss,100,1,1500,0.01,0.3,15.0,450.0,450.0
sunrise netzabdeckung,7,1,1400,0.0036,0.3,4.666666666666667,420.0,420.0
mobile abo,49,1,1400,0.0106,0.3,9.666666666666666,420.0,420.0
